code,rid
<,1522531
N,1522626
N,1528940
<,1522956
N,1525495
N,1525494
N,1523065
N,1523170
N,1525492
<,1525497
<,1527852
N,1525499
N,1523424
N,1523502
N,1525500
N,1526308
>,1527929
N,1526319
N,1523731
<,1528959
<,1528031
<,1528035
<,1524121
N,1524141
<,1528152
N,1524183
N,1524186
>,1528338
<,1528366
<,1528370
>,1528520
<,1528756
<,1527867
N,1527877
>,1528872
>,1528876
<,1529132
<,1529136
<,1529364
<,1529368
N,1525496
<,1525493
<,1525498
N,1525501
<,1529964
N,1526307
N,1526322
N,1528965
N,1528966
<,1529997
<,1530001
>,1530020
<,1530095
<,1530172
<,1530176
<,1530274
<,1530273
<,1527878
>,1530422
<,1530499
<,1530503
N,1530213
<,1530525
<,1530529
N,1530218
N,1530217
<,1530216
N,1530214
N,1528963
<,1530431
N,1528964
<,1530446
<,1530445
N,1529221
<,1530455
<,1530634
>,1530805
N,1530130
<,1530219
N,1530215
N,1530514
N,1531023
N,1531021
N,1531020
<,1531024
<,1531019
N,1531095
K,1532367
j,1532498
j,1532651
K,1532816
K,1533147
<,1532089
<,1532088
>,1533812
> Conc Range,1533812
>,1532647
K,1534612
K,1534611
K,1534843
K,1534846
<,1534553
<,1536149
K,1536981
K,1536984
K,1536979
>,1537214
> Conc Range,1537214
>,1537218
> Conc Range,1537218
<,1536148
k,1537376
<,1536834
>,1534658
N,1534662
N,1535306
<,1537959
<,1538664
< Conc Range,1538664
N,1536066
N,1532362
k,1539039
N,1532363
N,1536068
N,1536265
N,1536273
K,1539651
N,1537886
K,1539529
K,1539532
K,1539533
>,1539072
N,1537885
N,1537882
>,1539151
<,1539398
N,1534661
N,1534663
>,1539598
K,1540691
N,1535307
>,1540561
> Conc Range,1540561
K,1540362
K,1540360
K,1540361
N,1536067
<,1540114
<,1540113
N,1536069
N,1539492
<,1540466
N,1537869
<,1537887
N,1537883
<,1540927
<,1540926
<,1537884
N,1540395
N,1540394
<,1540393
N,1540391
N,1540403
N,1540402
N,1540401
N,1540399
N,1540409
N,1540414
N,1540413
N,1540412
N,1540410
N,1540416
N,1534659
N,1540420
N,1540421
N,1540419
N,1540417
<,1541409
<,1541408
<,1541418
<,1541417
<,1531022
N,1541399
N,1541400
<,1541398
N,1540396
N,1541396
<,1540392
N,1540404
N,1540400
<,1540415
N,1540411
N,1540422
N,1540418
N,1541549
N,1541548
N,1541547
<,1541545
N,1541555
N,1541554
N,1541553
N,1541551
N,1541585
N,1541584
N,1541583
N,1541581
N,1541587
N,1541589
N,1541401
N,1541397
<,1541730
<,1541550
N,1541546
<,1541556
N,1541552
N,1541586
<,1541582
N,1541588
N,1541751
N,1541752
<,1541753
N,1541754
N,1541755
N,1541756
N,1541770
<,1541771
<,1541772
N,1541773
N,1541782
N,1541867
<,1543428
j,1543561
N,1545232
N,1545259
N,1545321
N,1545586
j,1544533
>,1544237
> Conc Range,1544237
<,1545728
< Conc Range,1545728
j,1547355
j,1547358
<,1548996
N,1549298
N,1542183
<,1549175
< Conc Range,1549175
N,1548042
N,1548051
N,1549770
N,1549776
N,1549775
N,1549774
N,1549772
N,1549782
N,1549802
N,1548052
N,1551776
N,1551782
N,1551781
N,1551780
N,1551778
<,1551785
N,1549771
<,1549777
<,1549773
N,1551798
N,1551797
N,1549790
N,1551796
N,1549783
<,1549803
N,1551794
N,1551822
N,1553234
N,1551777
N,1551783
N,1551823
N,1551779
<,1551784
N,1551787
N,1551789
N,1551799
N,1551795
N,1551800
N,1551801
N,1551821
N,1553115
N,1553114
<,1553113
N,1553111
N,1553117
N,1553118
N,1553125
<,1553124
N,1553123
>,1553122
N,1553676
N,1552683
N,1552692
N,1552693
<,1553116
>,1553604
N,1553112
N,1553120
<,1553126
<,1553121
>,1553750
>,1553749
>,1554090
<,1554303
<,1554305
<,1554304
<,1554308
>,1554312
>,1554311
<,1554314
<,1554313
>,1554316
<,1554318
<,1554317
<,1554322
>,1554326
<,1554330
<,1554329
<,1554332
<,1554331
<,1554336
<,1554335
<,1554353
>,1554357
<,1554363
<,1554362
<,1554366
<,1554365
<,1554374
<,1554376
<,1554375
<,1554381
<,1554388
<,1554387
<,1554393
<,1554392
<,1554396
<,1554395
<,1554398
<,1554397
>,1554399
<,1554400
<,1554405
<,1554404
<,1554420
<,1554419
<,1554425
<,1554424
<,1554436
<,1554435
<,1554438
<,1554439
>,1554443
>,1554442
<,1554445
<,1554444
>,1554446
<,1554459
<,1554458
>,1554462
<,1554479
<,1554478
N,1554343
N,1554344
N,1554484
N,1554482
N,1554483
N,1554480
N,1554485
N,1554487
