Id,InstrumentFlag.Instrument.Name,InstrumentFlag.Code,Result
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%
%% Application: CENTRALINK
%% Version: 16.0.3
%% Table: ResultFlag
%% Exported on: 08/09/19 at 19:53:56
%% Exported by: batch
%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
33284,DMS_Immulite2000_1,N,1475584
33285,DMS_AdviaCentaur_3,>,1476285
33286,DMS_Immulite2000_1,N,1474152
33287,DMS_Immulite2000_1,<,1474156
33288,DMS_Immulite2000_1,N,1474736
33289,DMS_Immulite2000_1,N,1474740
33290,DMS_Immulite2000_1,<,1474771
33291,DMS_Immulite2000_1,N,1474809
33292,DMS_Immulite2000_1,N,1474813
33293,DMS_Immulite2000_1,N,1476337
33294,DMS_Immulite2000_1,N,1476339
33295,DMS_Immulite2000_1,N,1476340
33296,DMS_Immulite2000_1,N,1476341
33297,DMS_Immulite2000_1,N,1475581
33298,DMS_Immulite2000_1,<,1475585
33299,DMS_Immulite2000_1,<,1476139
33300,DMS_Immulite2000_1,N,1476338
33301,DMS_Immulite2000_1,N,1469255
33302,DMS_Immulite2000_1,N,1469256
33303,DMS_Immulite2000_1,N,1469257
33304,DMS_Immulite2000_1,N,1469258
33305,DMS_Immulite2000_1,N,1469254
33306,DMS_Immulite2000_1,<,1476342
33308,DMS_ChemistryXPT_2,j,1477306
33309,DMS_AdviaCentaur_2,<,1476907
33310,DMS_ChemistryXPT_3,K,1477503
33311,DMS_ChemistryXPT_3,K,1477523
33312,DMS_AdviaCentaur_2,>,1476985
33313,DMS_ChemistryXPT_3,K,1477599
33314,DMS_ChemistryXPT_3,K,1477611
33315,DMS_Immulite2000_1,N,1476710
33316,DMS_Immulite2000_1,N,1476709
33317,DMS_Immulite2000_1,<,1476708
33368,DMS_Immulite2000_1,N,1476706
33370,DMS_ChemistryXPT_3,>,1479611
33371,DMS_ChemistryXPT_3,> Conc Range,1479611
33377,DMS_AdviaCentaur_2,>,1479401
33384,DMS_Immulite2000_1,N,1479002
33385,DMS_Immulite2000_1,<,1476711
33386,DMS_Immulite2000_1,N,1476707
33387,DMS_Immulite2000_1,N,1479216
33388,DMS_Immulite2000_1,N,1479656
33389,DMS_Immulite2000_1,<,1479658
33390,DMS_Immulite2000_1,N,1479659
33391,DMS_Immulite2000_1,N,1479660
33392,DMS_Immulite2000_1,N,1479754
33394,DMS_Immulite2000_1,N,1476753
33395,DMS_Immulite2000_1,N,1480877
33396,DMS_Immulite2000_1,N,1480880
33397,DMS_Immulite2000_1,<,1480883
33398,DMS_Immulite2000_1,N,1480885
33399,DMS_Immulite2000_1,<,1480888
33400,DMS_Immulite2000_1,N,1480889
33401,DMS_Immulite2000_1,N,1480894
33402,DMS_Immulite2000_1,N,1480895
33403,DMS_Immulite2000_1,N,1480900
33404,DMS_Immulite2000_1,<,1476998
33405,DMS_Immulite2000_1,N,1476999
33406,DMS_Immulite2000_1,N,1477202
33407,DMS_AdviaCentaur_3,>,1480749
33414,DMS_Immulite2000_1,<,1478522
33415,DMS_Immulite2000_1,N,1479003
33416,DMS_AdviaCentaur_3,>,1480783
33417,DMS_Immulite2000_1,N,1479217
33418,DMS_Immulite2000_1,<,1479399
33419,DMS_Immulite2000_1,N,1479657
33420,DMS_Immulite2000_1,<,1479661
33421,DMS_Immulite2000_1,N,1479753
33422,DMS_AdviaCentaur_3,>,1480782
33423,DMS_Immulite2000_1,<,1481189
33424,DMS_Immulite2000_1,N,1481224
33425,DMS_Immulite2000_1,N,1481226
33426,DMS_Immulite2000_1,N,1481281
33427,DMS_AdviaCentaur_3,>,1480748
33428,DMS_AdviaCentaur_2,<,1481115
33429,DMS_AdviaCentaur_2,<,1481134
33430,DMS_AdviaCentaur_2,<,1481133
33431,DMS_AdviaCentaur_2,<,1481140
33432,DMS_Immulite2000_1,N,1480742
33433,DMS_AdviaCentaur_2,>,1481156
33434,DMS_AdviaCentaur_2,<,1481161
33435,DMS_AdviaCentaur_2,<,1481171
33436,DMS_AdviaCentaur_2,<,1481182
33437,DMS_AdviaCentaur_2,<,1481181
33438,DMS_AdviaCentaur_2,>,1481199
33439,DMS_AdviaCentaur_2,>,1481198
33440,DMS_AdviaCentaur_2,>,1481204
33441,DMS_ChemistryXPT_3,K,1482317
33442,DMS_Immulite2000_1,N,1481387
33443,DMS_Immulite2000_1,N,1481386
33444,DMS_Immulite2000_1,N,1481385
33445,DMS_Immulite2000_1,N,1481383
33446,DMS_Immulite2000_1,N,1481391
33447,DMS_Immulite2000_1,N,1481397
33448,DMS_Immulite2000_1,N,1481396
33449,DMS_Immulite2000_1,N,1481395
33450,DMS_Immulite2000_1,N,1481393
33451,DMS_Immulite2000_1,N,1481399
33452,DMS_Immulite2000_1,N,1481400
33453,DMS_Immulite2000_1,N,1481406
33454,DMS_Immulite2000_1,N,1481405
33455,DMS_Immulite2000_1,N,1481404
33456,DMS_AdviaCentaur_2,>,1481360
33457,DMS_Immulite2000_1,N,1481402
33458,DMS_ChemistryXPT_1,<,1482379
33459,DMS_ChemistryXPT_1,< Conc Range,1482379
33460,DMS_Immulite2000_1,N,1481845
33464,DMS_Immulite2000_1,N,1481388
33465,DMS_Immulite2000_1,N,1481384
33466,DMS_Immulite2000_1,N,1481389
33467,DMS_Immulite2000_1,N,1481392
33468,DMS_Immulite2000_1,N,1481401
33469,DMS_Immulite2000_1,N,1481398
33471,DMS_Immulite2000_1,N,1481394
33472,DMS_Immulite2000_1,N,1481407
33473,DMS_Immulite2000_1,N,1481403
33474,DMS_AdviaCentaur_2,<,1482830
33475,DMS_AdviaCentaur_2,<,1482829
33477,DMS_Immulite2000_1,N,1482800
33478,DMS_Immulite2000_1,N,1482801
33479,DMS_AdviaCentaur_3,>,1482611
33480,DMS_Immulite2000_1,N,1482803
33481,DMS_Immulite2000_1,N,1482804
33483,DMS_AdviaCentaur_2,<,1482887
33484,DMS_AdviaCentaur_2,<,1482886
33485,DMS_Immulite2000_1,N,1482589
33486,DMS_AdviaCentaur_3,>,1482612
33487,DMS_Immulite2000_1,N,1482590
33488,DMS_Immulite2000_1,N,1482591
33489,DMS_Immulite2000_1,<,1482595
33490,DMS_Immulite2000_1,N,1482926
33492,DMS_Immulite2000_1,N,1482928
33493,DMS_Immulite2000_1,<,1481390
33494,DMS_Immulite2000_1,N,1482857
33495,DMS_Immulite2000_1,N,1482856
33496,DMS_Immulite2000_1,<,1482855
33497,DMS_Immulite2000_1,N,1482853
33498,DMS_Immulite2000_1,N,1482875
33499,DMS_Immulite2000_1,N,1482880
33500,DMS_Immulite2000_1,N,1482879
33501,DMS_Immulite2000_1,<,1482878
33502,DMS_Immulite2000_1,N,1482876
33504,DMS_Immulite2000_1,N,1482802
33505,DMS_Immulite2000_1,N,1482805
33507,DMS_Immulite2000_1,<,1482937
33508,DMS_Immulite2000_1,<,1482938
33509,DMS_Immulite2000_1,<,1482858
33510,DMS_Immulite2000_1,N,1482854
33511,DMS_Immulite2000_1,N,1482881
33512,DMS_Immulite2000_1,N,1482877
33513,DMS_Immulite2000_1,N,1482904
33514,DMS_Immulite2000_1,N,1482945
33515,DMS_Immulite2000_1,N,1482944
33516,DMS_Immulite2000_1,N,1482943
33517,DMS_Immulite2000_1,N,1482941
33518,DMS_AdviaCentaur_3,>,1482972
33519,DMS_AdviaCentaur_3,>,1482968
33520,DMS_AdviaCentaur_3,>,1482948
33521,DMS_AdviaCentaur_3,>,1482961
33522,DMS_AdviaCentaur_3,>,1482949
33523,DMS_Immulite2000_1,N,1482946
33524,DMS_Immulite2000_1,N,1482942
33525,DMS_AdviaCentaur_3,>,1482977
33526,DMS_Immulite2000_1,<,1482947
33527,DMS_AdviaCentaur_2,<,1482992
33528,DMS_AdviaCentaur_2,<,1482993
33529,DMS_AdviaCentaur_3,>,1482975
33530,DMS_Immulite2000_1,N,1482990
33532,DMS_AdviaCentaur_2,<,1483213
33533,DMS_AdviaCentaur_2,<,1483227
33534,DMS_AdviaCentaur_2,>,1483270
33539,DMS_Immulite2000_1,N,1483255
33540,DMS_Immulite2000_1,N,1483274
33541,DMS_Immulite2000_1,N,1483276
33542,DMS_Immulite2000_1,N,1483277
33543,DMS_Immulite2000_1,N,1483278
33544,DMS_AdviaCentaur_2,<,1483595
33545,DMS_AdviaCentaur_2,<,1483594
33553,DMS_AdviaCentaur_2,<,1483790
33561,DMS_Immulite2000_1,>,1483565
33562,DMS_Immulite2000_1,N,1483602
33563,DMS_AdviaCentaur_2,<,1483905
33564,DMS_AdviaCentaur_2,<,1483904
33567,DMS_AdviaCentaur_2,<,1483910
33568,DMS_Immulite2000_1,<,1483156
33569,DMS_Immulite2000_1,N,1483677
33570,DMS_Immulite2000_1,N,1483678
33571,DMS_Immulite2000_1,N,1483688
33572,DMS_AdviaCentaur_2,>,1484013
33573,DMS_Immulite2000_1,N,1483738
33574,DMS_AdviaCentaur_2,<,1484032
33575,DMS_AdviaCentaur_2,<,1484040
33576,DMS_AdviaCentaur_2,<,1484039
33577,DMS_AdviaCentaur_2,<,1484046
33578,DMS_AdviaCentaur_2,<,1484045
33579,DMS_Immulite2000_1,N,1483845
33580,DMS_Immulite2000_1,N,1483256
33581,DMS_Immulite2000_1,<,1483259
33582,DMS_Immulite2000_1,N,1483872
33583,DMS_Immulite2000_1,N,1483275
33584,DMS_Immulite2000_1,N,1483873
33585,DMS_AdviaCentaur_3,>,1483653
33586,DMS_Immulite2000_1,<,1483874
